gene	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox
ENSG00000120437	881.89	374.83	437.1	350.76	461.23	700.88	365.37	416.56	518.87	477.94
ENSG00000182827	44.53	70.6	35.02	50.6	79.83	57.51	52.62	31.36	45.76	58.75
ENSG00000181513	6.01	9.15	7.8	3.49	5.84	3.04	13.46	6.63	10.57	5.22
ENSG00000107897	26.79	38.39	30.42	36.43	28.32	36.07	36.26	27.09	26.7	22.22
ENSG00000230124	75.31	128.25	103.35	60.63	46.11	85.52	91.95	104.04	96.04	56.0
ENSG00000176244	4.25	3.75	2.81	1.96	4.96	2.99	1.27	1.4	2.82	4.25
ENSG00000110455	1.91	3.45	3.4	2.15	1.0	2.18	12.67	10.34	6.26	2.86
ENSG00000205126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000102977	24.42	22.4	11.78	15.65	20.1	24.48	22.0	16.2	23.37	20.12
ENSG00000159640	8.77	7.15	11.71	29.2	9.02	8.2	15.46	10.3	38.77	17.67
ENSG00000130234	0.92	0.0	0.05	0.0	0.41	0.89	0.1	0.38	0.06	0.19
ENSG00000167769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000177076	4.44	7.0	9.76	8.4	6.85	0.44	12.58	1.89	5.6	5.83
ENSG00000078124	12.08	6.81	5.94	12.61	21.17	14.35	9.59	7.32	6.62	10.4
ENSG00000087085	6.59	10.89	4.07	9.22	0.5	19.33	14.92	5.76	2.63	2.73
ENSG00000100813	132.62	145.75	97.19	132.02	102.88	121.32	107.38	167.72	201.59	119.66
ENSG00000131473	365.66	301.83	262.8	172.07	286.01	331.82	297.95	305.64	272.68	222.96
ENSG00000153086	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000196636	12.7	13.19	17.58	16.96	2.13	12.75	11.14	18.69	10.0	9.13
ENSG00000122729	55.01	49.57	61.93	47.29	33.82	47.04	60.16	52.44	58.85	40.54
ENSG00000100412	50.45	57.7	76.44	60.52	52.03	38.95	64.48	75.56	102.66	43.25
ENSG00000184227	4.37	0.93	7.03	0.0	1.78	2.09	14.99	8.97	0.9	0.0
ENSG00000162390	17.96	18.42	18.78	32.58	19.97	20.57	11.71	14.79	41.64	21.29
ENSG00000172497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000112304	13.86	25.44	14.93	16.94	11.06	17.87	17.36	16.7	17.62	9.46
ENSG00000119673	6.15	10.38	15.04	5.68	1.45	4.01	12.74	14.66	14.67	7.69
ENSG00000177465	0.0	0.0	1.31	0.0	0.0	1.56	1.1	0.56	0.97	0.0
ENSG00000205669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000097021	57.84	37.76	44.2	70.59	78.83	91.14	62.23	43.39	64.89	86.38
