gene	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast
ENSG00000004777	4.203886	0	0	0	8.421078	0	0	5.792618	10.36443	4.105068	39.878649	0	0	0	13.510438	9.610839	9.017687	2.07884	7.087256	3.180648	3.68339	10.210234	15.20442	1.637915	0.1474
ENSG00000004779	92.5009	96.26297	59.3384600502846	94.6171	53.0489	123.548	66.8669	63.8601	103.179	134.16896	78.53431	35.81789	117.88269	82.57996	92.79706	107.06619	109.61831	55.92536	71.30315	102.09075	106.25899	96.1539	79.64029	46.6457	122.43501
ENSG00000004799	3.432999	2.7926	5.55145	15.55841	14.898	10.89741	1.848994	3.531944	0.32814	2.58553	10.61487	40.98099	9.465401	15.5698	11.55819	2.942901	4.465102	10.4908	17.84872	18.2522	8.14729	3.346996	0	17.33571	26.439981
ENSG00000004809	0	0	0	0.320007	0	0.229983	0.720592	0.802854	0	0.747271	0	0.692222	0.281449	0	0	0	0.166514	0.254343	1.62792	0.264106	0.631781	0	0	0.392358	0
ENSG00000004838	0.445961	2.700351	0	0.187691	0	0	4.997637	5.6616014	9.45717	6.402422	0	0.80291	0.512449	5.744329	11.44051	6.83564	4.222473	4.15643	1.372657	5.313746	18.10771	3.905423	15.612095	13.87333	0.794036
ENSG00000004846	0.709927	0.557517	1.448681	1.277472	0.0803709	0.183918	0.683489	0	0	0.108456	0	0.2858793	0	0.254748	0.119836	1.88877	0.515942	0.35858	0.209137	3.146376	0.418607	0.7033794	0.0846288	0	0.205992
ENSG00000004864	17.10669	13.4241300235424	16.9515800026824	6.20139	27.8860900068266	10.27192	4.24400000201622	8.549183	16.271153	1.923376	15.6462300099684	28.05585	6.5137600110445	15.46921	20.81014	14.8583000039391	3.357584	14.73721	29.8787	27.5503070026106	13.6963222978243	8.87421	14.41214	15.9537500062825	25.0867900073383
ENSG00000004866	26.1417248914	23.44411	31.662794	14.6925661839993	13.628588	11.15329711536	6.69653018	22.711065	15.28220099	19.743995	39.7280539	23.0257345	28.90080210466	14.3673159744	34.13788	26.927620369512	28.183755643	41.2036600234243	22.267873	24.447757803507	31.995177	28.565984	21.02602118559	9.76484	50.58503431372
ENSG00000004897	47.59952	49.7204420431077	106.707351483266	45.1915	29.37136	65.71912	48.7577024	73.075584	47.18034	91.138020144007	101.44878	62.0143	64.16926	25.30962148	81.2954280220835	118.218870006965	68.2634	66.081386	126.44214911478	60.6138865	106.45309	109.6799517	74.69837	90.4761298474838	75.9554275
ENSG00000004939	0.693723	0.539659	2.725434	2.91847	0	0	1.53184	1.41202	2.8013	3.020022	1.71731	2.57558	0.794909	1.035931	0.370809	2.393937	2.344347	2.943547	1.561879	1.250329	0.865052	0	0	0.683489	4.430238
ENSG00000004961	6.84689	31.263244	9.7740721434	6.49774	8.95266	3.6756	17.39587	10.96291	18.8249	18.54029	11.67218	20.60984	16.72878	8.17184	23.253481	13.41305	12.90683	15.82797	17.43488	22.60028	27.52014	17.19074782	37.01919	11.15747	0
ENSG00000004975	13.013914	1.481657	8.947709	8.59113	16.615456	5.260187	1.25311	8.07401	13.699492	23.757946	1.98127	7.15602	0.757869	1.849372	9.358496	12.615476	9.959195	14.873487	3.465355	7.10153	2.18051	3.48864900806995	2.412041	4.4725286	9.0385215
ENSG00000005007	3.55477255	5.9074774829152	5.359223517	15.851150527	11.20736	3.91120662509	8.38652794	5.63193000173091	6.55379773	5.77172791	5.49123973	10.27981635	3.88589382	9.921216282	0.638839	2.845981029	4.679546389	9.98293300975403	3.551640971	6.12727846	8.49357	2.30697	2.870302068	2.207799765	13.16505865
ENSG00000005020	0.417123	4.82438	6.06466663577	5.68632	8.254289	2.398856	7.3201	13.37944	18.85993	5.322705	3.35932	24.40819	4.56038	16.1252	9.61168	20.3717	22.31374	12.3794	21.36525	24.697921311	10.74007	12.09226	23.32693	17.42637	4.4251054528
ENSG00000005022	165.35506801235	197.5457	111.732	118.826	147.25402	165.36598	61.14198	232.958	192.03413	168.451	151.9918	88.7482	212.6438	164.967598107878	214.25995	179.865	151.418993	152.4966	166.586	157.68574	229.385	177.781	188.2861	169.779	135.112
ENSG00000005059	4.684355	6.45727	3.83251	20.36058	0.190872	3.294446	9.28838	3.9619146	11.6165	16.1861	7.93038	8.21211	13.607253	30.7487	7.33745	15.6955	19.84489	3.00286	17.34947	21.91319	29.63805	15.51927	19.24955	12.15827	9.69374
ENSG00000005073	1.24269	0.709551	1.58495	0.739226	11.73642	1.76707	0.554401	0.209787	1.16224	3.97609	2.18938	1.12008	1.51215	2.90214	1.35408	0.653627	0.262603	1.91396	1.30935	0.608776	4.87798	0.404845	1.20013	3.02461	0
