Ensembl ID(supplied by Ensembl)	Ensembl gene ID	Approved symbol	Previous symbols	Synonyms
ENSG00000162836	ENSG00000162836	ACP6		LPAP, ACPL1
ENSG00000183760	ENSG00000183760	ACP7		FLJ16165, PAPL1, PAPL
ENSG00000100312	ENSG00000100312	ACR		
ENSG00000111644	ENSG00000111644	ACRBP		SP32, OY-TES-1, CT23
ENSG00000134940	ENSG00000134940	ACRV1		SPACA2, SP-10, D11S4365
		ACS3		
ENSG00000103740	ENSG00000103740	ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG
ENSG00000130377	ENSG00000130377	ACSBG2		BGR, PRTD-NY3, DKFZp434K1635
ENSG00000167107	ENSG00000167107	ACSF2		FLJ20920, ACSMW
ENSG00000176715	ENSG00000176715	ACSF3		
ENSG00000151726	ENSG00000151726	ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1
ENSG00000123983	ENSG00000123983	ACSL3	FACL3	ACS3, PRO2194
	ENSG00000234193	ACSL3-AS1		
ENSG00000068366	ENSG00000068366	ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4
ENSG00000197142	ENSG00000197142	ACSL5	FACL5	ACS5, ACS2
ENSG00000164398	ENSG00000164398	ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2
	ENSG00000223548	ACSL6-AS1		
ENSG00000166743	ENSG00000166743	ACSM1	BUCS1	MACS1
ENSG00000183747	ENSG00000183747	ACSM2A	ACSM2	A-923A4.1, MGC150530
ENSG00000066813	ENSG00000066813	ACSM2B	ACSM2	HXMA, HYST1046
ENSG00000005187	ENSG00000005187	ACSM3	SAH	SA
ENSG00000215009	ENSG00000215009	ACSM4		
ENSG00000183549	ENSG00000183549	ACSM5		FLJ20581
ENSG00000260762	ENSG00000260762	ACSM5P1		
ENSG00000173124	ENSG00000173124	ACSM6	C10orf129	bA310E22.3
ENSG00000154930	ENSG00000154930	ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843
ENSG00000131069	ENSG00000131069	ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1
ENSG00000111058	ENSG00000111058	ACSS3		FLJ21963
ENSG00000143632	ENSG00000143632	ACTA1	ACTA	NEM3
ENSG00000107796	ENSG00000107796	ACTA2		ACTSA
ENSG00000180139	ENSG00000180139	ACTA2-AS1		uc001kfo.1, ZXF1, UC001kfo
		ACTA3		
ENSG00000075624	ENSG00000075624	ACTB		
ENSG00000169067	ENSG00000169067	ACTBL2		DKFZp686D0972
ENSG00000229145	ENSG00000229145	ACTBP1		
ENSG00000213763	ENSG00000213763	ACTBP2		
		ACTBP3		
		ACTBP4		
		ACTBP5		
ENSG00000203413	ENSG00000203413	ACTBP6		
ENSG00000185607	ENSG00000185607	ACTBP7		
ENSG00000220267	ENSG00000220267	ACTBP8		ACTBP2
ENSG00000266920	ENSG00000266920	ACTBP9		
		ACTBP10		
ENSG00000188460	ENSG00000188460	ACTBP11		
ENSG00000233125	ENSG00000233125	ACTBP12	ACTGP5	
ENSG00000234667	ENSG00000234667	ACTBP13		
ENSG00000229001	ENSG00000229001	ACTBP14		
ENSG00000159251	ENSG00000159251	ACTC1	ACTC	CMD1R
ENSG00000184009	ENSG00000184009	ACTG1	ACTG, DFNA20, DFNA26	
ENSG00000178631	ENSG00000178631	ACTG1P1	ACTGP1, ACT1GP1	
ENSG00000229129	ENSG00000229129	ACTG1P2	ACTL2, ACTGP2	
ENSG00000215388	ENSG00000215388	ACTG1P3	ACTGP3	
ENSG00000236085	ENSG00000236085	ACTG1P4	ACTGP4	
		ACTG1P6	ACTGP6	
		ACTG1P7	ACTGP7	
		ACTG1P8	ACTGP8	
ENSG00000229349	ENSG00000229349	ACTG1P9	ACTGP9	
ENSG00000231340	ENSG00000231340	ACTG1P10	ACTL1, ACTGP10	
ENSG00000229465	ENSG00000229465	ACTG1P11		
ENSG00000226642	ENSG00000226642	ACTG1P12		
ENSG00000241305	ENSG00000241305	ACTG1P13		
ENSG00000230581	ENSG00000230581	ACTG1P14		
ENSG00000259904	ENSG00000259904	ACTG1P15		
ENSG00000260298	ENSG00000260298	ACTG1P16		
ENSG00000259315	ENSG00000259315	ACTG1P17		
ENSG00000218475	ENSG00000218475	ACTG1P18		
ENSG00000237999	ENSG00000237999	ACTG1P19		
ENSG00000241547	ENSG00000241547	ACTG1P20		
ENSG00000232672	ENSG00000232672	ACTG1P21		
ENSG00000271615	ENSG00000271615	ACTG1P22		
ENSG00000230362	ENSG00000230362	ACTG1P23		
ENSG00000226359	ENSG00000226359	ACTG1P24	POTENP	
ENSG00000163017	ENSG00000163017	ACTG2	ACTL3, ACTA3	ACTSG
		ACTL2		
		ACTL3		
		ACTL4		
		ACTL5		ACTFIB
ENSG00000136518	ENSG00000136518	ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K
ENSG00000077080	ENSG00000077080	ACTL6B	ACTL6	BAF53B
ENSG00000187003	ENSG00000187003	ACTL7A		
ENSG00000148156	ENSG00000148156	ACTL7B		Tact1
ENSG00000117148	ENSG00000117148	ACTL8		CT57
ENSG00000181786	ENSG00000181786	ACTL9		MGC33407
ENSG00000182584	ENSG00000182584	ACTL10	C20orf134	
ENSG00000072110	ENSG00000072110	ACTN1		
ENSG00000259062	ENSG00000259062	ACTN1-AS1	C14orf84	
ENSG00000077522	ENSG00000077522	ACTN2		
ENSG00000248746	ENSG00000248746	ACTN3		
ENSG00000130402	ENSG00000130402	ACTN4	FSGS1	
ENSG00000213493	ENSG00000213493	ACTN4P1		
ENSG00000214141	ENSG00000214141	ACTN4P2		
ENSG00000229890	ENSG00000229890	ACTP1		
ENSG00000138107	ENSG00000138107	ACTR1A		ARP1, Arp1A
